经度(度-分),纬度(度-分),经度,纬度,航速（节）,航迹向（度）,船首向（度）,旋转角速度（度/秒）,航行状态,更新时间（北京时间）,更新时间（UTC）
122-4.652E,29-53.610N,122.077533,29.8935,000.0,236.2,255,0,靠泊,2020-11-12 12:08:07,2020-11-12 04:08:07
122-4.652E,29-53.608N,122.077532,29.893468,000.0,187.8,255,0,靠泊,2020-11-12 12:35:07,2020-11-12 04:35:07
122-4.651E,29-53.610N,122.077518,29.893502,000.0,194.2,255,0,靠泊,2020-11-12 13:02:06,2020-11-12 05:02:06
122-4.652E,29-53.611N,122.077533,29.89351,000.0,161,255,0,未知,2020-11-12 13:35:22,2020-11-12 05:35:22
122-4.651E,29-53.610N,122.077518,29.893508,000.0,167.9,255,0,靠泊,2020-11-12 14:05:07,2020-11-12 06:05:07
122-4.646E,29-53.609N,122.077432,29.89348,000.1,331,256,0,靠泊,2020-11-12 14:32:10,2020-11-12 06:32:10
122-4.492E,29-53.675N,122.07487,29.894588,002.6,310.6,344,0.3,在航,2020-11-12 14:43:59,2020-11-12 06:43:59
122-4.466E,29-53.827N,122.074437,29.897118,002.6,41.5,33,0.04,在航,2020-11-12 14:47:32,2020-11-12 06:47:32
122-4.799E,29-54.087N,122.079983,29.901453,004.6,47,33,0,在航,2020-11-12 14:52:50,2020-11-12 06:52:50
122-4.985E,29-54.245N,122.08309,29.904088,005.6,44.9,34,0.04,在航,2020-11-12 14:54:53,2020-11-12 06:54:53
122-5.156E,29-54.400N,122.085933,29.906667,006.5,48.6,48,0.11,在航,2020-11-12 14:56:32,2020-11-12 06:56:32
122-6.051E,29-54.919N,122.100848,29.915317,009.2,66.4,70,0,在航,2020-11-12 15:02:20,2020-11-12 07:02:20
122-7.213E,29-55.152N,122.120217,29.919203,011.4,85.2,90,0,在航,2020-11-12 15:07:29,2020-11-12 07:07:29
122-8.266E,29-55.110N,122.137767,29.918495,012.8,107.6,111,0,在航,2020-11-12 15:11:32,2020-11-12 07:11:32
122-8.611E,29-55.001N,122.143515,29.916677,013.0,110.8,110,0,在航,2020-11-12 15:12:52,2020-11-12 07:12:52
122-9.514E,29-54.572N,122.158568,29.909528,013.3,128.7,130,0,在航,2020-11-12 15:16:42,2020-11-12 07:16:42
122-9.697E,29-54.451N,122.161622,29.907512,013.3,129.1,143,0.27,在航,2020-11-12 15:17:32,2020-11-12 07:17:32
122-10.399E,29-53.401N,122.173317,29.890022,013.1,154.9,161,0.11,在航,2020-11-12 15:22:52,2020-11-12 07:22:52
122-10.538E,29-53.033N,122.17563,29.883885,013.3,164.3,166,0,在航,2020-11-12 15:24:32,2020-11-12 07:24:32
122-10.582E,29-52.882N,122.176368,29.881365,013.3,166.3,165,0,在航,2020-11-12 15:25:12,2020-11-12 07:25:12
122-10.665E,29-52.578N,122.177753,29.876292,013.4,166.9,160,0,在航,2020-11-12 15:26:30,2020-11-12 07:26:30
122-10.874E,29-52.110N,122.181237,29.868503,013.4,151.6,144,0,在航,2020-11-12 15:28:40,2020-11-12 07:28:40
122-11.673E,29-51.132N,122.194553,29.852192,013.0,142.8,141,0.05,在航,2020-11-12 15:34:01,2020-11-12 07:34:01
122-12.536E,29-50.055N,122.208935,29.834247,012.9,141.6,140,0.02,在航,2020-11-12 15:39:43,2020-11-12 07:39:43
122-13.439E,29-49.106N,122.223983,29.818425,011.7,137.8,137,0,在航,2020-11-12 15:45:32,2020-11-12 07:45:32
122-14.250E,29-48.362N,122.237493,29.80603,010.9,134.7,135,0,在航,2020-11-12 15:50:39,2020-11-12 07:50:39
122-14.981E,29-47.702N,122.249682,29.795027,009.5,136.7,135,0,在航,2020-11-12 15:55:51,2020-11-12 07:55:51
122-15.721E,29-47.042N,122.26201,29.784027,009.3,134.2,132,0,在航,2020-11-12 16:01:12,2020-11-12 08:01:12
122-16.538E,29-46.443N,122.275628,29.774048,009.4,124.2,122,0,在航,2020-11-12 16:06:43,2020-11-12 08:06:43
122-17.693E,29-45.750N,122.294875,29.762502,011.2,126.3,125,0,在航,2020-11-12 16:13:01,2020-11-12 08:13:01
122-18.769E,29-45.007N,122.312812,29.750115,012.1,130,134,0.09,在航,2020-11-12 16:18:42,2020-11-12 08:18:42
122-19.805E,29-43.973N,122.330088,29.732888,012.8,147.2,146,0,在航,2020-11-12 16:24:53,2020-11-12 08:24:53
122-20.026E,29-43.656N,122.333765,29.727595,012.9,149.4,139,0,在航,2020-11-12 16:26:32,2020-11-12 08:26:32
122-20.184E,29-43.473N,122.336395,29.724543,012.8,137.9,122,0,在航,2020-11-12 16:27:32,2020-11-12 08:27:32
